permutation,permuted_r2,permuted_spearman
55,-0.21130363961097998,-0.004816460337883562
56,-0.09920766764114752,-0.01028503941672272
57,-0.6257260065847234,0.03440734839086173
58,-0.3026928840164702,-0.0524436325252977
59,-0.5640891927792302,-0.04151264215734724
60,-0.23187001765197723,-0.017054355340059963
61,-0.26076433874640226,0.031118249495719896
62,-0.311503005447614,-0.046149069713985386
63,-0.3244074269586039,-0.15102141538132016
64,-0.330767277655607,0.04038927094177981
65,-0.32805856530503297,0.032906408425737964
66,-0.42209487490151165,-0.06479321453065412
67,-0.27718136686267547,0.06899406277489019
68,-0.29641714710816447,0.10356785813989408
69,-0.32310354869475577,0.04238946848082025
70,-0.4356458893989139,-0.07974627058924277
71,-0.2871927416575686,-0.05242196191274038
72,-0.2526900876535625,-0.023546370771173372
73,-0.5229118309061949,-0.0412085867934661
74,-0.2152485906955679,0.09860995538081908
75,-0.5735687750888145,-0.08284491813940972
76,-0.3410858579349212,0.02208552143928064
77,-0.29808806390688325,0.03883215408102669
78,-0.5229742986255148,-0.0989001748920675
79,-0.34951866640942875,0.07435053810800013
80,-0.2437175694378484,-0.07159445293325849
81,-0.19098802717395613,0.03979891344661257
82,-0.2821220084608502,-0.0075181189357024095
83,-0.5930278606634349,-0.06677199150266674
84,-0.26201250540872434,-0.034185808051718065
85,-0.2296271788439348,0.014000049197125683
86,-0.4289728372899413,-0.019885287476634195
87,-0.45365909032166196,0.027785309284404414
88,-0.45532426908672785,-0.02799326381644483
89,-0.24801604416058032,0.01196917940646566
90,-0.5706072100664985,-0.06550467741061283
91,-0.22793600658099522,-0.009548822029342765
92,-0.13628346333720986,0.07349871633747787
93,-0.20930419988678262,0.09675853493183563
94,-0.2550620063133635,0.012922936404517152
95,-0.6281349809738521,-0.05105296263868674
96,-0.26927660711200696,-0.0035355604387264056
97,-0.21878972259102136,-0.06339737703643333
98,-0.2360808048055909,0.0843886992385891
99,-0.2613427647071094,0.10299967134834317
100,-0.2914328096351022,-0.07645908870982716
101,-0.42229799638108223,-0.08566151433229217
102,-0.2428430620149986,-0.021823557072866605
103,-0.26225277596647745,-0.01836025979216787
104,-0.6796742207615518,0.0730347182267206
105,-0.3604948947056712,-0.0031898308199273502
106,-0.11189537458846899,-0.011844156641711902
107,-0.2802122407773555,0.012542200411587044
108,-0.058380653167602325,-0.02504272656825617
109,-0.15421561068552925,-0.06385129302099932
110,-0.3037713474772634,-0.06911066734015052
111,-0.4113917162760721,0.029676070230030393
112,-0.2769394478774687,0.04824045052278623
113,-0.22000735539871075,0.09297584616144597
114,-0.24043384609167417,0.006710471875393141
115,-0.4201448314768401,-0.06532614490254446
116,-0.2984540028318954,-0.004617424096395581
117,-0.7860500850934837,-0.07389145451582434
118,-0.4190612693858653,-0.060418334597880825
119,-0.27699944048929726,-0.035935876712741156
120,-0.28728751277560405,0.044148205386866264
121,-0.3466910422620475,-0.01619328188494592
122,-0.2931395191651509,-0.07535497100003183
123,-0.2210902952917706,0.08114777578213239
124,-0.08740734729959021,0.009641672269299887
125,-0.32672004090859286,-0.08730706396198112
126,-0.2715562783218779,-0.006775483713065095
127,-0.26160976356236065,0.023373922704323022
128,-0.22889903043646198,-0.007169638816078771
129,-0.449063237541397,-0.011081184382674643
130,-0.7190021399120738,-0.09900469392340162
131,-0.1566766528332264,0.07016669295977059
132,-0.3317521405549835,0.06630849043946965
133,-0.5165657264694854,0.03792823949185703
134,-0.46352376456881017,0.0279313358736368
135,-0.4956993321450709,0.08402421620507698
136,-0.2823798268060349,0.05796647148403998
137,-0.14399595186155145,-0.010974915032633948
138,-0.5392194065385569,0.029888442233092106
139,-0.3141426785413288,-0.0022639955726708634
140,-0.5611758334963011,-0.04502894909030156
141,-0.31640433490788444,-0.008453205867550675
142,-0.3254212189079235,0.0017182295302657971
143,-0.42709379287361515,-0.06268082989737465
144,-0.3987518048160532,0.027988012860325172
145,-0.29934710586379154,-0.0408801936647129
146,-0.260264521159012,-0.0695136573852068
147,-0.3560681114002493,0.010772378153732862
148,-0.557531645006208,-0.13640850459137158
149,-0.1669013750065096,-0.024148063663678283
150,-0.22712703408281398,0.021015826664047495
151,-0.2779005948545621,-0.03987742774287794
152,-0.47684380226125445,0.045978622011371095
153,-0.8604927433951002,-0.03455554204134985
154,-0.45916803572510223,0.025394790673802743
155,-0.4415130184606082,0.02695249097412472
156,-0.26494385583003477,0.007091874656401936
157,-0.4690973435144359,-0.09775221586609849
158,-0.29961178257756327,-0.006512019073474011
159,-0.23453991329047552,-0.011218876120923446
160,-0.40091171860443087,-0.04187220762877904
161,-0.3148595163334189,0.0059559178158493
162,-0.269816474224875,-0.08291451414512263
163,-0.32412632303531064,0.05515004198817719
164,-0.2451311324138028,0.034520368970199125
165,-0.2099230825510201,0.10089778862730302
166,-0.33777186315633156,0.02947911770128831
167,-0.5101513175528201,-0.07158078377764542
168,-0.18929841173449802,0.09664668123163593
169,-0.19122732110858331,-0.01632538927303572
170,-0.3224835189407891,-0.011869411240192161
171,-0.27128625402699424,-0.06182500739838026
172,-0.2758038488670922,-0.05828302912439649
173,-0.3952662300294938,-0.10334456748204389
174,-0.3221814505585121,-0.061683314931659336
175,-0.22591790439757276,0.09328415229932874
176,-0.2861543827640367,0.008990470361952486
177,-0.35249293858468356,-0.04709774245293689
178,-0.35869062894702886,0.014359531320047652
179,-0.2913242245099341,-0.015303703239468024
180,-0.32365813817223854,0.07225298950947144
181,-0.39302003345928904,-0.054685457394352224
182,-0.229687386502061,0.006625373046850751
183,-0.554587156487903,-0.052567988501972765
184,-0.33943258066146464,0.013231492587929423
185,-0.5453163831368737,0.019479046839694324
186,-0.31482057147015197,0.016008164844600523
187,-0.5984609712671323,-0.005845731085846324
188,-0.6234872234725595,0.038783228505753053
189,-0.3679352686446471,-0.0668158328188404
190,-0.28314960065089734,0.019972303320902808
191,-0.3327834877780096,-0.04661507123247755
192,-0.140118606786243,0.0005305966136149437
193,-0.5719866893447907,0.01671654382969531
194,-0.26274644487320287,-0.03955528575236242
195,-0.5030878120790072,-0.03173844575740836
196,-0.3127222173277613,0.017731561982476142
197,-0.275822273917131,-0.04448309969938666
198,-0.16518487176048668,-0.03386850027477304
199,-0.38111218629032706,0.039483856079433104
200,-0.14730059273722196,0.00857064391790937
201,-0.5784516557557822,0.03995510855404494
202,-0.15734517773314272,0.09422540702090484
203,-0.28408280799201435,-0.0008729089435107298
204,-0.19410406743902908,0.01204119251896382
205,-0.30260074367828316,0.002709660054763088
206,-0.19236291669261596,0.03074018065510454
207,-0.1672365414017607,-0.05969895360948771
208,-0.2887781674941958,0.015967490771800638
209,-0.23143875424967875,-0.009317529914548312
210,-0.3962886150010736,-0.019131566902188712
211,-0.5887135992797035,0.1415871975530017
212,-0.23150817813046776,-0.05535641289853072
213,-0.31001464601610196,-0.048371474380248164
214,-0.2538252510836172,0.018318168794700766
215,-0.2119165593478196,-0.01581963051535186
216,-0.30306681702328797,-0.10435275105701818
217,-0.3200057654341568,0.03178437078632792
218,-0.43460721805047275,0.03872063377486634
219,-0.4525608325098536,-0.013825517417529439
220,-0.12683508163994772,0.038248047724097144
221,-0.29786383979751774,0.04699364016415193
222,-0.24405265606693738,0.07643483429346494
223,-0.4744415342476729,0.07867382531318505
224,-0.5780300228084343,-0.048621769955285186
225,-0.4203019693825407,-0.05670307477194835
226,-0.2614755146629668,0.08019235181388419
227,-0.37017632608853734,-0.02662384779984201
228,-0.43679662433619515,0.03172936076983626
229,-0.31400197941535857,0.10532342780256633
230,-0.4034268688184155,-0.033640208706332685
231,-0.308965579598085,-0.023445935816821188
232,-0.43920566712683895,0.10644671566962392
233,-0.4692399300996164,-0.03258326625310442
234,-0.37402700486420315,-0.071627708988683
235,-0.6142354821612825,-0.007079205682906887
236,-0.37790933767499757,0.010859143952471971
237,-0.32384994844586945,0.1622677131619796
238,-0.31214655537297586,-0.043886074323432556
239,-0.22319800940822576,-0.07105227087677636
240,-0.33074427256743943,0.01453539667580127
241,-0.30577927590849807,-0.006194211205469962
242,-0.17789783196923237,-0.028949187875752055
243,-0.8202186459970091,-0.015936901868690883
244,-0.6246249244556359,-0.06083807769341411
245,-0.42089599815854295,-0.027775890902792966
246,-0.5753048217086663,-0.13298179730649076
247,-0.5351534001196143,-0.022471174994291063
248,-0.4235932506061193,7.259655206701476e-05
249,-0.5971946605523601,0.0030896459111046733
250,-0.3529457085568253,0.010566423985928507
251,-0.3247349760854734,0.07701635684658957
252,-0.39099867190788573,0.06540357566818196
253,-0.30206024420339794,0.0036276605420950065
254,-0.2293362543469577,0.2416549183708496
255,-0.23035808949936531,0.04057447133063504
256,-0.40516595237465514,0.0014876042035500336
257,-0.2556834615094865,0.02602832269706495
258,-0.563611029948663,-0.05194904246793184
259,-0.10130518633474983,0.05552002602333847
260,-0.20542555949222563,-0.024655989482617883
261,-0.3508175844396144,-0.05086534514304627
262,-0.17336717831492154,-0.04856034210353618
263,-0.21823885960698108,-0.04466479945082878
264,-0.33262444799430346,-0.07919742065197377
265,-0.31845111704684115,0.11330454771040682
266,-0.40271923814910515,-0.060107944747252166
267,-0.23504548565197858,0.01670920916082976
268,-0.29160053921215656,-0.1053724367263498
269,-0.320213622209673,0.04618590975533283
270,-0.3822534454493469,0.009792366375083083
271,-0.18733048158103704,0.02069643517435657
272,-0.07492005270470936,-0.040262247812789996
273,-0.23357908381548964,0.05916385617634163
274,-0.3555240997286373,0.00923568167788952
275,-0.2898960326925468,0.0730094605847415
276,-0.16620826322939242,0.10509955370514727
277,-0.3417555424846348,0.017185462546031732
278,-0.0826308744676989,-0.054489588396238006
279,-0.41034869698939436,0.019785519310360697
280,-0.37551173849732433,-0.00936387168601704
281,-0.4209492066510967,-0.03665242385179986
282,-0.4232792359664308,-0.050217393827582474
283,-0.42908233745646585,-0.026567504207192987
284,-0.08929652082029471,-0.0340570346040217
285,-0.264042374904512,-0.011262217346038082
286,-0.3412384382176801,-0.06127282352071784
287,-0.29778456067347814,0.0056703658211517205
288,-0.15579587599607958,-0.11241271865516335
289,-0.37240984032138535,-0.014238092541216836
290,-0.30241312488339345,-0.046017545765464435
291,-0.2648092654929701,0.04094295509261928
292,-0.36694282583839577,0.027296720319746733
293,-0.294527826365778,0.016498587476474594
