mp_index,battery_formula,formula_discharge,framework_formula,preliminary_family,average_voltage,capacity_grav,energy_grav,max_delta_volume,stability_charge,stability_discharge,mp_preliminary_score,final_decision_support_score,conservative_earth_abundant_candidate,cde_exact_formula_match,cde_total_doi_count,evidence_class
42,Na1-3GePCO7,Na3GePCO7,GePCO7,phosphate_or_NASICON_like,2.132724569051728,180.73111040163943,385.4496795455767,0.156629523233187,0.039923883526168,0.070349762690525,0.6147114625004791,0.4995624506253114,True,False,,"Conservative, computational support only"
43,Na0-1Fe(PO3)3,NaFe(PO3)3,Fe(PO3)3,phosphate_or_NASICON_like,3.273735689051709,84.88179104995677,277.8805487108734,0.081538243017999,0.015117229102563,0.009662491607141,0.6146628126572132,0.4995308282271886,True,False,,"Conservative, computational support only"
44,Na0-0.5Cu3O4,Na(Cu3O4)2,Cu3O4,transition_metal_oxide_like,3.938330566551716,50.35402310565584,198.3107883458557,0.049479517596053,0.066328173035714,0.008579129416665,0.5730712024787461,0.4724962816111849,True,False,,"Conservative, computational support only"
45,Na1-3SnPCO7,Na3SnPCO7,SnPCO7,phosphate_or_NASICON_like,2.060048156551726,156.43211808080224,322.25769647783864,0.20770293100099,0.025085609227268,0.051697199535256,0.5699316671002617,0.4704555836151701,True,False,,"Conservative, computational support only"
47,Na2-3CuBSO7,Na3CuBSO7,CuBSO7,sulfate_like,3.032991951551726,93.25916303902316,282.85429090580743,0.003459685322988,0.081586021526446,0.08911558653846,0.547316898078722,0.4557559837511693,True,False,,"Conservative, computational support only"
51,Na2-3MnBSO7,Na3MnBSO7,MnBSO7,sulfate_like,2.614881566551734,96.13875669084229,251.39146270208565,0.003142155096983,0.093666022811982,0.058931768076923,0.495205311949897,0.421883452767433,True,False,,"Conservative, computational support only"
52,Na4-6Sn2C4SO16,Na6Sn2C4SO16,Sn2C4SO16,sulfate_like,2.800981544051726,75.34253816866574,211.0330588924455,0.040314917004253,0.067277986477622,0.026082981889366,0.4941117965756814,0.4211726677741929,True,False,,"Conservative, computational support only"
53,Na5-7Cu7O13,Na7Cu7O13,Cu7O13,transition_metal_oxide_like,2.982477596551721,65.87213608018642,196.4621700961623,0.003138525317457,0.087049047249998,0.043017683333333,0.4807846111933139,0.4125099972756541,True,False,,"Conservative, computational support only"
54,Na0-1CaFe2(SiO3)4,NaCaFe2(SiO3)4,CaFe2(SiO3)4,silicate_like,2.733554456551705,55.94217665626135,152.920986307926,0.027761134450751,0.028742488728063,0.006143295041673,0.4726652606140284,0.4072324193991185,True,False,,"Conservative, computational support only"
55,Na0-1MgMn4O8,NaMgMn4O8,MgMn4O8,transition_metal_oxide_like,2.445934506551726,67.84461150338517,165.94347635972596,0.064200922216424,0.05697976370193,0.082000688392857,0.4231329397068994,0.3750364108094847,True,False,,"Conservative, computational support only"
59,Na0-3V2(PO4)3,Na3V2(PO4)3,V2(PO4)3,phosphate_or_NASICON_like,3.348916998218388,176.415910700775,590.8022421020027,0.118606396177811,0.014576926617646,0.0,0.8332647159400182,0.7471260580685388,False,True,834.0,Non-conservative + exact CDE evidence
63,Na0-1.29V2O5,Na9V14O35,V2O5,transition_metal_oxide_like,3.211356015440613,162.97450034225784,523.369142037538,0.061296319991463,0.025970106530612,0.003735386063231,0.7717559073531146,0.7278950209568152,False,True,2048.0,Non-conservative + exact CDE evidence
69,Na0-1V2O5,NaV2O5,V2O5,transition_metal_oxide_like,3.266735261551719,130.82203996985868,427.36097095766576,0.113406136643222,0.0,0.00610912375,0.7199311326200798,0.6946558121519766,False,True,2088.0,Non-conservative + exact CDE evidence
60,Na0-1VPO5,NaVPO5,VPO5,phosphate_or_NASICON_like,3.600908689051717,144.9496306764634,521.9503845777144,0.028865546752802,0.0056868725,0.0,0.8029601324682148,0.6803641798435008,False,True,108.0,Non-conservative + exact CDE evidence
66,Na0-2V3O7,Na2V3O7,V3O7,transition_metal_oxide_like,3.227863313218396,172.46779322370762,556.7024624585422,0.02420240741757,0.082158660000001,0.0,0.7542893123283821,0.6261269447626567,False,True,40.0,Non-conservative + exact CDE evidence
89,Na0-0.67V2O5,Na2V6O15,V2O5,transition_metal_oxide_like,3.211569766551733,90.60377285915408,290.98033764997973,0.082652397052103,0.02981807357143,0.044422464565206,0.5899849746922229,0.6097439147272357,False,True,2048.0,Non-conservative + exact CDE evidence
68,Na0-1Cr3O8,NaCr3O8,Cr3O8,transition_metal_oxide_like,4.337746056551726,87.30884356226281,378.7235918642971,0.006460504664538,0.046632533090909,0.029265952916667,0.7261693819470877,0.5774372366246987,False,True,10.0,Non-conservative + exact CDE evidence
71,Na0-1VP2O7,NaVP2O7,VP2O7,phosphate_or_NASICON_like,3.607397424051729,108.12516438539888,390.0504394790577,0.045256791319093,0.004769900000001,0.00075947659091,0.7142790150574578,0.5768777020390634,False,True,14.0,Non-conservative + exact CDE evidence
75,Na1-2V(PO4)2,Na2V(PO4)2,V(PO4)2,phosphate_or_NASICON_like,3.8704488865517312,93.4293021404477,361.6133384408011,0.032723501127793,0.031631231875004,0.005402036730727,0.692604967528337,0.5556203672525107,False,True,10.0,Non-conservative + exact CDE evidence
88,Na0-0.5VO2,NaV2O4,VO2,transition_metal_oxide_like,2.492623141551722,141.90410728551464,353.7134617011121,0.076111315120118,0.059391077499999,0.011000901630964,0.5919084882268701,0.5444192062238016,False,True,114.0,Non-conservative + exact CDE evidence
104,Na0-2V6O13,Na2V6O13,V6O13,transition_metal_oxide_like,2.545130256551719,95.78444578136504,243.78389106518983,0.075981364750489,0.016361282368421,0.040702089444453,0.5168833361143302,0.4931055214577599,False,True,102.0,Non-conservative + exact CDE evidence
86,Na1-2V3P2O13,Na2V3P2O13,V3P2O13,phosphate_or_NASICON_like,3.6936536090517262,57.17725394145005,211.192970376504,0.033418554319772,0.0,0.0,0.6031928119312534,0.492863980635841,False,True,8.0,Non-conservative + exact CDE evidence
92,Na0-0.25CrO2,NaCr4O8,CrO2,transition_metal_oxide_like,3.597391406551725,74.66230670076601,268.589540518665,0.009579722151321,0.066267404999983,0.051100154999994,0.5848843424680086,0.4927711648559214,False,True,14.0,Non-conservative + exact CDE evidence
70,Na0-1Mo(PO4)2,NaMo(PO4)2,Mo(PO4)2,phosphate_or_NASICON_like,4.090156524051739,86.77199080031944,354.91102427688406,0.022895756354055,0.014981788409095,0.011596301354175,0.7165193546622707,0.4911319069707391,False,True,2.0,Non-conservative + exact CDE evidence
